"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","07/07/2001","Dunkerque","Dunkerque","ERIK ZABEL"
"2",2,"Étape 1","08/07/2001","Saint-Omer","Boulogne-sur-Mer","MARC WAUTERS"
"3",3,"Étape 2","09/07/2001","Calais","Anvers","ERIK ZABEL"
"4",4,"Étape 3","10/07/2001","Anvers","Seraing","LAURENT JALABERT"
"5",5,"Étape 4","11/07/2001","Huy","Verdun","CREDIT AGRICOLE"
"6",6,"Étape 5","12/07/2001","Verdun","Bar-Le-Duc","JAAN KIRSIPUU"
"7",7,"Étape 6","13/07/2001","Commercy","Strasbourg","LAURENT JALABERT"
"8",8,"Étape 7","14/07/2001","Strasbourg","Colmar","ERIK DEKKER"
"9",9,"Étape 8","15/07/2001","Colmar","Pontarlier","SERGUEI IVANOV"
"10",10,"Étape 9","16/07/2001","Pontarlier","Aix-les-Bains",NA
"11",11,"Étape 10","17/07/2001","Aix-les-Bains","L'Alpe-d'Huez",NA
"12",12,"Étape 11","18/07/2001","Grenoble","Chamrousse","FÉLIX RAFEL CÁRDENAS RAVALO"
"13",13,"Étape 12","20/07/2001","Perpignan","Ax-les-Thermes",NA
"14",14,"Étape 13","21/07/2001","Foix","Saint-Lary-Soulan Col du Portet","ROBERTO LAISEKA"
"15",15,"Étape 14","22/07/2001","Tarbes","Luz-Ardiden","RIK VERBRUGGHE"
"16",16,"Étape 15","24/07/2001","Pau","Lavaur","JENS VOIGT"
"17",17,"Étape 16","25/07/2001","Castelsarrasin","Sarran","SERGE BAGUET"
"18",18,"Étape 17","26/07/2001","Brive-la-Gaillarde","Montluçon",NA
"19",19,"Étape 18","27/07/2001","Montluçon","Saint-Amand-Montrond","ERIK ZABEL"
"20",20,"Étape 19","28/07/2001","Orléans","Evry","JAN SVORADA"
"21",21,"Étape 20","29/07/2001","Corbeil-Essonnes","Paris",NA
