"","id","n","annee","depart","arrivee","winner"
"1",1,"Prologue","24/06/1976","Merlin-Plage","Saint-Jean-de-Monts","FREDDY MAERTENS"
"2",2,"Étape 1","25/06/1976","Merlin-Plage","Angers","GIOVANNI BATTAGLIN"
"3",3,"Étape 2","26/06/1976","Angers","Caen","FREDDY MAERTENS"
"4",4,"Étape 3","27/06/1976","Le Touquet-Paris-Plage","Le Touquet-Paris-Plage","HENNIE KUIPER"
"5",5,"Étape 4","28/06/1976","Le Touquet-Paris-Plage","Bornem",NA
"6",6,"Étape 5.1","29/06/1976","Louvain","Louvain","ALDO PARECCHINI"
"7",7,"Étape 5.2","29/06/1976","Louvain","Verviers","FREDDY MAERTENS"
"8",8,"Étape 6","30/06/1976","Bastogne","Nancy","JACQUES ESCLASSAN"
"9",9,"Étape 7","01/07/1976","Nancy","Mulhouse","JOOP ZOETEMELK"
"10",10,"Étape 8","02/07/1976","Beaulieu","Divonne","JOOP ZOETEMELK"
"11",11,"Étape 9","04/07/1976","Divonne","L'Alpe-d'Huez","JOSÉ-LUIS VIEJO"
"12",12,"Étape 10","05/07/1976","Bourg-d'Oisans","Montgenèvre","RAYMOND DELISLE"
"13",13,"Étape 11","06/07/1976","Montgenèvre","Manosque","WILLY TEIRLINCK"
"14",14,"Étape 12","08/07/1976","Port Barcarès","Pyrénées 2000","LUCIEN VAN IMPE"
"15",15,"Étape 13","09/07/1976","Font Romeu","Saint Gaudens","WLADIMIRO PANIZZA"
"16",16,"Étape 14","10/07/1976","Saint Gaudens","Saint-Lary-Soulan Col du Portet","MICHEL POLLENTIER"
"17",17,"Étape 15","11/07/1976","Saint-Lary-Soulan Col du Portet","Pau","FERDINAND BRACKE"
"18",18,"Étape 16","12/07/1976","Pau","Fleurance",NA
"19",19,"Étape 17","13/07/1976","Fleurance","Auch","HUBERT MATHIS"
"20",20,"Étape 18.1","14/07/1976","Auch","Langon","JOOP ZOETEMELK"
"21",21,"Étape 18.2","14/07/1976","Langon","Lacanau","FREDDY MAERTENS"
"22",22,"Étape 18.3","14/07/1976","Lacanau","Bordeaux",NA
"23",23,"Étape 19","15/07/1976","Sainte-Foy-la-Grande","Tulle",NA
"24",24,"Étape 20","16/07/1976","Tulle","Puy de Dôme",NA
"25",25,"Étape 21","17/07/1976","Montargis","Versailles",NA
"26",26,"Étape 22.1","18/07/1976","Versailles","Paris",NA
"27",27,"Étape 22.2","18/07/1976","Paris","Paris",NA
